bfs_nummer,name,einwohnerzahl,min_distanz_m
3714,Rheinwald,570,23234.04191523509
6719,Pleigne,365,7900.83887173434
5828,Treytorrens (Payerne),108,5190.08458670229
4801,Berlingen,957,10925.039070476158
3572,Falera,635,5769.576242421618
5486,L'Isle,1094,7732.171733187129
4791,Wuppenau,1213,5905.0200646929015
424,Wynigen,2097,7240.41792990793
4306,Fisibach,605,8266.330714530804
6810,La Baroche,1135,8339.182299278396
437,Mont-Tramelan,111,6252.1535208496225
2843,Buckten,715,5924.146578953737
3342,Eschenbach (SG),10266,5337.342337463846
4656,Güttingen,1799,5672.760123930874
3295,Quarten,3105,7359.517718425872
3311,Amden,1901,11835.37009344349
4164,Gansingen,1128,5876.725253161358
4681,Langrickenbach,1503,7041.319837493406
5324,Avegno Gordevio,1534,5189.785482315044
6151,Champéry,1404,9248.451318516365
5520,Essertines-sur-Yverdon,1142,5031.551453973223
2963,Ramsen,1655,6022.224329841746
4105,Mandach,328,5089.584582854086
908,Trub,1277,7323.528881740902
936,Pohlern,247,7515.626134314848
7004,Triesenberg,2703,7623.883286579843
6192,Blatten,300,16664.101546663504
4319,Siglistorf,799,5917.075587013719
6434,Le Cerneux-Péquignot,310,5273.3255587487365
7011,Schellenberg,1169,5467.940627582005
100,Stadel,2455,5646.148995294272
2920,Thayngen,5881,5848.137797726701
5050,Serravalle,2070,6612.169691269162
344,Ursenbach,903,6848.0721245349305
3396,Neckertal,6420,5090.432450069623
3987,Trun,1141,11661.390201659453
3871,Klosters,4478,7820.101386885748
3025,Trogen,1877,5076.820216532308
5912,Démoret,173,5780.454185084301
5759,Premier,228,5054.877260606478
1211,Isenthal,459,8828.9624947414
5464,Vully-les-Lacs,3627,5271.025248805955
1361,Alpthal,632,6067.524247856766
211,Altikon,774,6215.3619558719265
388,Leuzigen,1361,6129.914789268441
580,Hofstetten bei Brienz,529,9191.954783076812
592,Schwanden bei Brienz,668,11117.682731668021
5063,Bedretto,108,9803.024987391867
579,Habkern,629,8060.255178363742
4846,Raperswilen,421,8533.586858777986
4281,Reitnau,1621,5669.080423749901
228,Turbenthal,5300,6464.15443120261
932,Horrenbach-Buchen,224,9941.7054781192
1501,Beckenried,3712,7010.774024891039
4646,Ermatingen,3780,5860.6361760727095
614,Linden,1275,5118.94669883484
4185,Böztal,2940,5213.949137618063
709,Seehof,67,9546.462980800106
4616,Uesslingen-Buch,1139,6148.261939625708
5072,Faido,2705,9759.17899552749
6131,Bovernier,952,5005.172588502851
6287,Randa,468,8547.45725070364
5758,La Praz,207,5972.963096812934
4864,Steckborn,4054,10528.28591799278
5726,La Rippe,1196,5833.195862765813
572,Bönigen,2786,5024.0000253470325
28,Flaach,1494,6071.731499230033
4691,Münsterlingen,3723,5125.811038081164
3823,Soazza,324,12970.639279080462
3360,Nesslau,3890,8713.496176718343
3423,Niederhelfenschwil,3290,5484.421627867319
2961,Buch (SH),336,8597.48666324003
4545,Diessenhofen,4138,6036.9388809311595
6603,Avully,1746,5787.455182842065
2850,Känerkinden,532,5783.5170030592935
5817,Grandcour,976,5828.882882256522
3542,Albula/Alvra,1354,6868.625931134548
40,Trüllikon,1104,5633.20288857279
310,Rapperswil (BE),2705,5681.6710177785535
4701,Wäldi,1171,6535.782768411309
1202,Andermatt,1578,10349.699909025263
406,Hasle bei Burgdorf,3402,6374.259791839139
225,Rickenbach (ZH),2850,5228.625745171239
4262,Wegenstetten,1017,5259.090452608389
1363,Illgau,822,6863.371178145836
3822,Mesocco,1414,18473.112384931686
5410,Ormont-Dessous,1242,5781.460481063704
5304,Bosco/Gurin,47,8731.308784269168
5755,Lignerolle,461,6570.307338252563
6034,Orsières,3303,9381.642382173774
2783,Burg im Leimental,286,5749.513113654496
2549,Kammersrohr,32,6373.74633178513
6715,Mervelier,526,8080.350222094489
4536,Basadingen-Schlattingen,1902,7873.999050956389
6722,Saulcy,277,7188.7549914756655
182,Wildberg,1013,6010.939493985428
2971,Hallau,2423,13667.234529719795
784,Innertkirchen,1079,13607.591272231766
573,Brienz (BE),3256,10388.353624459414
924,Eriz,480,10736.080163244666
1370,Rothenthurm,2595,6094.288984323374
5079,Quinto,1302,7199.933562570146
6008,Ried-Brig,2310,7357.690121403614
1098,Ruswil,7541,5332.8294382194335
6252,Anniviers,2790,6835.001409891318
3734,Trin,1557,5480.671710583841
6774,Boncourt,1170,9092.54881478277
584,Lauterbrunnen,2331,12789.746426828842
2953,Siblingen,888,8631.209054996772
6265,Savièse,8278,6164.8449654542665
1219,Unterschächen,746,12427.194078833738
3789,Sils im Engadin/Segl,708,10483.659024677529
6142,Trient,175,9664.179870260628
3911,Churwalden,2114,6188.5673137246185
3551,Brusio,1099,8950.028491242863
566,Krattigen,1130,6070.626717444952
3668,Thusis,3439,5318.255335660254
5430,Marchissy,508,7032.598424814249
2022,Gletterens,1161,7150.0612541330665
2619,Kleinlützel,1197,6244.9853294715795
1140,Reiden,7674,5825.773590460939
6054,Binn,129,8193.603255628655
3201,Häggenschwil,1426,5965.994177883985
102,Weiach,2123,6924.8901196217585
613,Landiswil,623,6201.980451658682
6706,Courchapoix,449,5944.2493842232225
872,Kirchdorf (BE),1853,5674.160616458453
1146,Wauwil,2660,6117.06738332944
6076,Obergoms,663,18986.72566852377
588,Niederried bei Interlaken,366,6999.981691628873
2936,Merishausen,905,6756.00747190068
4251,Hellikon,850,5000.49589925468
562,Aeschi bei Spiez,2325,8893.671169082398
1150,Zell (LU),2205,5113.404516206426
1127,Egolzwil,1664,7031.917563018157
3603,Vals,958,18535.479351792765
6806,Vendlincourt,557,6282.123256885622
3861,Fideris,626,10469.643774532975
1203,Attinghausen,1787,8522.736203708371
441,Renan (BE),957,5638.086441600555
1504,Emmetten,1668,7678.738432336423
6759,Soubey,125,7179.337625366822
2430,Welschenrohr-Gänsbrunnen,1209,5520.157744646468
5136,Onsernone,663,8369.798606982988
2477,Metzerlen-Mariastein,988,5402.352623979302
448,Villeret,924,8818.032088932197
6011,Zwischbergen,71,14776.757157759728
5913,Donneloye,916,5658.473673906824
3783,Madulain,196,7110.703562928087
5456,Cudrefin,1885,5925.367042044397
2883,Bretzwil,736,7391.392852109985
853,Rüschegg,1738,9129.75563218067
1208,Göschenen,458,17013.71545679287
2972,Oberhallau,456,11380.987847139972
3961,Grüsch,2176,5828.83944402652
3316,Weesen,1898,9142.236398731666
880,Rüeggisberg,1745,7236.621907068347
1010,Escholzmatt-Marbach,4559,10267.884714741811
4184,Mettauertal,2176,6127.155213367432
5798,Ropraz,530,6877.989021431187
1210,Hospental,180,9431.169211849236
292,Stammheim,2947,6348.771041922923
971,Attiswil,1546,6700.356843764738
114,Fischenthal,2666,5356.565277328546
740,Ligerz,525,5284.759476544331
2338,La Verrerie,1350,7819.155687053185
6748,Les Genevez (JU),516,7333.499747348484
6104,Ergisch,183,6968.302969868889
2421,Aedermannsdorf,593,7053.313702637356
983,Oberbipp,1955,5320.039691396514
6083,Evolène,1666,6874.679698628833
4816,Homburg,1573,9800.446629324024
901,Eggiwil,2451,8682.122729265298
995,Wiedlisbach,2654,7147.024777510993
3881,Conters im Prättigau,224,7243.705148070618
1511,Wolfenschiessen,2121,5302.364374990619
2973,Trasadingen,619,12563.361004311202
3713,Ferrera,76,14091.499045321436
5307,Campo (Vallemaggia),49,8437.700997504437
952,Dürrenroth,1077,6215.811780424243
6135,Leytron,3529,6009.518058913276
5323,Lavizzara,498,11334.714046791858
3945,Trimmis,3424,5575.637080010405
